ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,SiO2,Cd,Ba,Rb,Cr
23G-Z05,23G-Z,102.1381555,5.883997873,80.52155991,0.817793296,13.05204826,21.34675486,195.0335284,969.1748961,106.1438286,6.873866937,1042.492681,445.7218237,38288.14704,23.49120142,0.867687922,948142.2583,3.255306085,25.63230995,0.678411639,125.2690255
23G-Z07,23G-Z,78.8311874,19.23030197,87.66907711,4.970545361,21.18411458,4.877755999,315.4777305,1325.087542,670.6966362,10.42398801,4008.415771,1015.562838,33810.67061,53.76102143,4.348726405,930618.6948,5.204546993,79.22082357,3.519420929,184.6383286
23G-Z08,23G-Z,7.373752745,7.617440033,37.14353142,1.31292444,1.236896146,7.214983278,111.6670024,505.2625868,367.901818,12.04285509,1153.332336,349.8973527,9610.540657,34.13173515,0.950212965,984492.9482,3.074739542,3.379724621,1.379459629,117.5231196
23G-Z09,23G-Z,8.602219631,14.87034104,55.82840175,1.88638108,1.501920851,6.705569182,271.8512746,938.2704295,222.4505934,8.844659649,1739.695121,602.8857338,6854.183976,42.54110355,2.908565811,980653.9767,2.689046002,12.00309477,1.166288058,111.7002136
23G-Z10,23G-Z,2193.660065,12.27305947,26.49047188,1.329061329,1.151333371,24.98378193,119.904292,339.8849794,325.5592133,6.70332019,1125.192724,470.3402126,10657.92306,70.95238471,2.709424682,886834.2081,3.131168452,92562.57737,1.427433729,180.3081606
23G-Z12,23G-Z,16.53456023,6.899722721,10.62151638,1.223123547,3.963884827,22.02274239,74.85435959,271.2885759,65.491504,6.338745097,635.3270061,202.7144982,13066.44627,21.27534034,0.762082511,982597.2116,4.104264654,8.699567598,0.454768559,46.55236957
23G-Z13,23G-Z,220.8977122,18.44221695,56.20138401,5.924080396,8.303727048,11.05040868,316.011058,535.4979635,4691.233397,8.708857308,2279.925531,329.2072057,21456.56951,93.93541591,6.224786573,946784.4287,4.708619824,115.3931192,0.883358261,217.7767198
23G-Z14,23G-Z,17.06679475,7.533331036,68.39230515,0.486624103,1.900194937,15.12077119,112.5676702,692.8869302,143.3130179,6.756953409,951.2857053,410.2194925,9483.564016,47.09698253,0.913617697,984037.9123,1.501624389,9.748686889,0.750162486,59.76704003
23G-Z15,23G-Z,4.799079255,9.667638303,61.71567397,2.031378324,1.057126609,8.068681786,97.94986999,613.160359,133.356158,6.633532321,1653.373968,448.1660984,6625.113148,92.04119331,2.655818343,986985.6294,4.092290474,7.466158549,0.827077794,0
23G-Z16,23G-Z,22.61286673,22.80309774,40.28409989,9.772322998,9.876738326,6.205812514,207.5387952,865.3270062,620.9039589,20.5100963,2692.446396,1389.193098,13391.74635,159.5913682,6.817521606,954815.1067,12.60595799,1530.481206,3.724771726,0
23G-Z17,23G-Z,18.62370107,13.97650559,59.99409015,2.94662968,0.99108903,23.03833792,267.0327865,792.227035,186.7530892,11.23584675,4503.021575,584.133357,5377.438263,33.58585554,7.568584197,949946.8625,1.398662228,205.1028585,1.555824934,112.519552
